@relation dataset

@attribute DiscreteVar0 {0.0, 1.0}
@attribute GaussianVar0 real
@attribute GaussianVar1 real
@attribute GaussianVar2 real
@attribute GaussianVar3 real
@attribute GaussianVar4 real
@attribute GaussianVar5 real
@attribute GaussianVar6 real
@attribute GaussianVar7 real
@attribute GaussianVar8 real
@attribute GaussianVar9 real


@data

0.0,-5.19563486700423,-9.788990326045194,-4.342472924338327,-2.0761897583540048,-0.6551636716183504,1.925174240163635,15.978735153570312,-0.3682242673043351,2.328406337558432,-0.988524704445427
1.0,-8.040659906532333,-15.777856173044386,8.063330480215573,0.9110273426670987,0.766069861437364,0.5543809544079032,20.419178738639292,-1.3032929654362477,-2.7866495130995137,-4.799535661918655
0.0,-9.827489781793453,-13.254281866128313,-9.909518413531679,1.2211448610357745,-2.3809038910302034,-1.2239261337958536,22.899048312928016,-1.6242856268221981,-2.9891840709314836,-5.3739228225295
1.0,-4.805019303871709,-17.33660356980186,12.20619317810587,-0.08440671756743975,-2.259103507992034,-3.441739071691216,28.312351020484364,1.0804323808113314,2.0626788002453122,-0.7898627297301802
0.0,-12.101485653565453,-11.061324110527591,-7.816798434972869,-0.26527086139098993,0.29852109931895554,1.5045287011709707,14.735516316061654,-0.7534966961130934,-2.2347394130673752,-4.477907930310258
1.0,-5.892883322359154,-16.0938931510317,7.852749040406192,-2.1716813293829076,-2.0052671868759435,-0.09560747710122919,26.974737771846694,-0.8026836951102854,3.165097647975702,-0.4084003482431574
1.0,-6.6623971871835925,-16.92564850052678,9.745077002362896,0.44181571688680343,-0.7557179883338652,-2.3545946862479017,26.39284465834346,-2.0696863561510774,-1.3903843718838451,-4.541841922834502
1.0,-5.956833181619465,-14.33587770205516,6.951564513730234,0.37241198771747697,0.7015587707464244,-0.7035440961384194,20.39396845160625,-0.5784198460787005,-1.0796010495081736,-4.160565819056063
0.0,-11.5005091562408,-8.913135323131847,-8.319721367800835,-0.10681576013335994,-1.6064668264855884,1.074531515663284,14.298476873350026,-0.021494909056772593,-0.961944187829757,-4.036447317565843
0.0,-12.053343200870307,-10.106078870306398,-9.59604551117453,-0.6203661432211314,-1.5068270359049807,2.175892113110579,14.176106635530772,2.809449669075784,-0.9607765126150021,-3.87342223875194
1.0,-7.848168193107123,-14.96887480580888,9.018315915732211,-0.7837602171462569,-0.5636962355157585,0.9875615724717967,22.641251216520082,-2.1051676495418117,-0.6865399791585418,-1.923210814107739
0.0,-10.918811069934309,-13.932488690408292,-8.22015708759899,-0.45816377662824714,-1.1616104466222825,2.4824431155773743,21.263569475226443,-1.0954695360674698,-1.7175918831831143,-4.024950981420184
0.0,-4.8365692275088845,-8.974815095024507,-3.975277531271774,0.2443795159558994,-0.3855340049422482,0.7765813629172791,11.801150728698458,-0.8549447456500276,-3.6480229317196553,-5.178060189153562
1.0,-5.416374774310726,-15.668054613200905,8.00497382918968,-2.348923566686594,-1.1971556664460183,-0.7617902004476629,24.193742859307832,1.0452091290900634,5.179024051294263,1.6436097705813042
1.0,-7.5753099658402165,-17.615989824111324,8.930615685775585,-0.9629490933812439,-1.7439594392872118,2.09548294637976,27.836275878021194,1.1326672497407297,1.0665157108676322,-1.4305779688381657
0.0,-13.87980422476099,-12.524261681607827,-10.655430592399652,-0.08738176740387169,0.7156642130241921,1.754923546331173,15.054087804353227,-0.3210247396211515,-2.7865221659714576,-4.893738531095103
0.0,-13.5500850911009,-12.621125966912505,-9.951994382494938,-0.323650505790093,-3.5130287737872186,-0.12536047428414876,22.296817796324884,0.04032366733486792,-0.10667005794418617,-2.855641858981433
